"Add New Category","Neue Kategorie hinzufügen"
"Are you sure you want to do this?","Sind Sie sicher?"
"Start Import","Import starten"
NOTICE,WARNUNG
"Database Name","Name der Datenbank"
"User Name","Username"
"Database Host","Datenbank-Host"
"Table Prefix","Tabellen-Präfix"
Post,Post
"Add New Post","Neuer Post"
Blog,Blog
"Go to Blog Home Page","Zur Blog-Startseite gehen"
"Monthly Archives: %s %s","Monatliche Archive: %s %s"
"Search ""%1""","Suche ""%1"""
"Recent Blog Posts","Neueste Blogposts"
"Manage %1","%1 verwalten"
"Edit %1","%1 bearbeiten"
"New %1","Neu %1"
"Create %1","%1 erstellen"
"%1 has been saved.","%1 wurde gespeichert."
"Something went wrong while saving this %1. %2","Beim Speichern dieses %1 ist etwas schiefgelaufen. %2"
"We can't delete %1 right now. %2","Wir können %1 gerade nicht löschen. %2"
"%1 have been deleted.","%1 wurden gelöscht."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" fehlt in den Request-Daten."
"Status Field Name is not specified.","Der Name des Status-Felds wurde nicht festgelegt."
"We can't change status of %1 right now. %2","Wir können den Status von %1 gerade nicht ändern. %2"
"%1 status have been changed.","%1 Status wurden geändert."
"Blog Import","Blog-Import"
"Blog import type is not specified.","Der Typ für den Blog-Import wurde nicht festgelegt."
"The import process was completed successfully. %1 posts and %2 categories where imported.","Der Import wurde erfolgreich abgeschlossen. %1 Posts und %2 Kategorien wurden importiert."
"The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4","Der Import wurde erfolgreich abgeschlossen. %1 Posts und %2 Kategorien wurden importiert. Einige Posts und Kategorien wurden übersprungen.<br/> %3 %4"
"Nothing to import.","Nichts zu importieren."
"Can not make import.","Import nicht möglich."
"Something went wrong: ","Etwas ist schiefgelaufen: "
"Blog Import from WordPress","Blog-Import von WordPress"
"Please select","Bitte auswählen"
"Use Facebook Comments","Facebook-Kommentare verwenden"
"Use Disqus Comments","Disqus-Kommentare verwenden"
"Use Google Comments","Google-Kommentare verwenden"
"Yes (With auto trigger)","Ja (mit automatischem Trigger)"
