"Add New Category","Προσθήκη Νέας Κατηγορίας"
"Are you sure you want to do this?","Είστε σίγουρος γι’αυτό;"
"Start Import","Έναρξη εισαγωγής"
NOTICE,ΕΙΔΟΠΟΙΗΣΗ 
"Database Name","Όνομα βάσης δεδομένων"
"User Name","Όνομα Χρήστη"
"Database Host","Database Host"
"Table Prefix","Πρόθεμα Πίνακα"
Post,Δημοσίευση
"Add New Post","Προσθήκη Νέας Δημοσίευσης"
Blog,Ιστολόγιο
"Go to Blog Home Page","Πηγαίνετε στην αρχική σελίδα του ιστολόγιου"
"Monthly Archives: %s %s","Μηνιαία Αρχεία: %s %s"
"Search ""%1""","Αναζήτηση ""%1"""
"Recent Blog Posts","Πρόσφατες Δημοσιεύσεις"
"Manage %1","Διαχείριση %1"
"Edit %1","Τροποποίηση %1"
"New %1","Νέο %1"
"Create %1","Δημιουργία %1"
"%1 has been saved.","%1 αποθηκέυτηκε."
"Something went wrong while saving this %1. %2","Σφάλμα κατά την αποθήκευση του %1. %2"
'"We can''t delete %1 right now. %2"',"Αδύνατη η διαγραφή του %1 αυτή την στιγμή. %2"
"%1 have been deleted.","%1 διαγράφηκε."
"Parameter ""Status"" missing in request data.","Παράμετρος ""Κατάσταση"" δεν υπάρχει."
"Status Field Name is not specified.","Αδιευκρίνιστο Όνομα Πεδίου Κατάστασης."
'"We can''t change status of %1 right now. %2"',"Αδύνατη η αλλαγή κατάστασης του %1. %2"
"%1 status have been changed.","%1 κατάσταση τροποποιήθηκε."
"Blog Import","Εισαγωγή Ιστολόγιου"
"Blog import type is not specified.","Ο τύπος εισαγωγής ιστολογίου δεν έχει καθοριστεί."
"The import process was completed successfully. %1 posts and %2 categories where imported.","Η διαδικασία εισαγωγής ολοκληρώθηκε με επιτυχία. %1 δημοσιεύσεις και %2 κατηγορίες προστέθηκαν."
"The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4","Η διαδικασία εισαγωγής ολοκληρώθηκε με επιτυχία. %1 δημοσιεύσεις και %2 κατηγορίες προστέθηκαν. Μερικές δημοσιεύσεις η κατηγορίες παραλείφθηκαν.<br/> %3 %4"
"Nothing to import.","Δεν υπάρχει κάτι για εισαγωγή."
"Can not make import.","Αδύνατη εισαγωγή."
"Something went wrong: ","Κάτι πήγε στραβά: "
"Please enter your name and email","Please enter your name and email"
"Blog Import from WordPress","Εισαγωγή ιστολόγιου WordPress"
"Comment text is too short.","Comment text is too short."
"Please select","Παρακαλώ επιλέξτε"
"Use Facebook Comments","Χρήση σχολίων Facebook"
"Use Disqus Comments","Χρήση σχολίων Disqus"
"Use Google Comments","Χρήση σχολίων Google (beta)"
"Featured Blog Posts","Featured Blog Posts"
"Yes (With auto trigger)","Ναι (Με auto trigger)"
"Yes (Without auto trigger)","Ναι (Χωρίς auto trigger)"
"Parameter %1 is required","Παράμετρος %1 είναι αναγκαία"
"AheadWorks Blog Extension not detected.","Πρόσθετο AheadWorks Blog δεν ανιχνεύθηκε."
"The category URL key contains disallowed symbols.","Η διεύθυνση URL κατηγορίας περιέχει απαγορευμένα σύμβολα."
"The category URL key cannot be made of only numbers.","Η διεύθυνση URL κατηγορίας δεν μπορεί να περιέχει μόνο αριθμούς."
"The post URL key contains disallowed symbols.","Η διεύθυνση URL δημοσίευσης περιέχει απαγορευμένα σύμβολα."
"The post URL key cannot be made of only numbers.","Η διεύθυνση URL δημοσίευσης δεν μπορεί να περιέχει μόνο αριθμούς."
"The tag is already exist.","Η ετικέτα υπάρχει ήδη."
"The tag URL key contains disallowed symbols.","Η διεύθυνση URL ετικέτας περιέχει απαγορευμένα σύμβολα."
"The tag URL key cannot be made of only numbers.","Η διεύθυνση URL ετικέτας δεν μπορεί να περιέχει μόνο αριθμούς."
"Related posts","Σχετικά άρθρα"
Posted:,Αναρτήθηκε:
Categories:,Κατηγορίες:
Tags:,Ετικέτες:
Author:,Συντάκτης:
'"We can''t find posts matching the selection."',"Δεν βρέθηκαν σχετικές αναρτήσεις."
"Read more","Read more"
"Read more &#187","Συνέχεια άρθρου &#187"
"See more","Δείτε περισσότερα"
"Read %1","Ανάγνωση %1"
"&larr Previous","&larr Προηγούμενο"
"Previous","Προηγούμενο"
"Next &rarr","Επόμενο &rarr"
"Next","Επόμενο"
"Related Posts","Σχετικά άρθρα"
Archive,Αρχείο
"Archive %s","Αρχείο %s"
"Recent Posts","Πρόσφατα άρθρα"
"RSS Feed","RSS Feed"
"Search posts here...","Αναζητήστε άρθρα..."
Tags,Ετικέτες
"Read more >","Read more >"
"MageFan Extensions","Πρόσθετα MageFan"
"Blog Information","Πληροφορίες Ιστολόγιου"
"Blog Index Page","Ευρετήριο Ιστολόγιου"
"Post View","Προβολή άρθρων"
"Display Related Posts","Προβολή σχετικών άρθρων"
"Number of Posts","Αριθμός άρθρων"
"Display Related Products","Προβολή σχετικών προϊόντων"
"Number of Products","Αριθμός προϊόντων"
Comments,Σχόλια
"Number of Comments","Αριθμός σχολίων"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Post","Προεπισκόπηση και επόμενη δημοσίευση"
"Display Prev. & Next Post Links","Εμφάνιση Προηγ. & Επόμενης Δημοσίευσης"
"Post List","Λίστα Δημοσιεύσεων"
"Posts Per Page","Δημοσιεύσεις ανά σελίδα"
"Use Lazy Loading","Χρήση φόρτωσης Lazy"
"Automatically load more posts on page.","Αυτόματη φόρτωση περισσότερων αναρτήσεων στη σελίδα."
"Auto Triger Padding (px)","Αυτόματο Triger Padding (px)"
Author,Συγγραφέας
"Display Author Information","Εμφάνιση πληροφοριών συγγραφέα"
"Display Post List By Author","Εμφάνιση δημοσιεύσεων ανά συγγραφέα"
Sidebar,Πλευρική στήλη
"Search Form Widget","Γραφικό στοιχείο φόρμα αναζήτησης"
"Categories Widget","Γραφικό στοιχείο κατηγοριών"
"Recent Posts Widget","Γραφικό στοιχείο πρόσφατων δημοσιεύσεων"
"Posts Number","Αριθμός δημοσιεύσεων"
"Archive Widget","Γραφικό στοιχείο αρχείου"
"Tag Claud Widget","Γραφικό στοιχείο σύννεφου ετικετών"
"Rss Feed","Rss"
"Feed Title","Feed Τίτλος"
"Feed Description","Feed Περιγραφή"
"Product Page","Σελίδα Προϊόντος"
"Permalink Settings","Ρυθμίσεις Permalink"
"Blog Route","Διαδρομή Ιστολόγιου"
"Permalink Type","Τύπος Permalink"
"Post Route","Διαδρομή Δημοσίευσης"
"Category Route","Διαδρομή Κατηγορίας"
"Archive Route","Διαδρομή Αρχείου"
"Tag Route","Διαδρομή Ετικέτας"
"Author Route","Διαδρομή Συγγραφέα"
"Search Route","Διαδρομή Αναζήτησης"
Social,Κοινωνικά Δίκτυα
"AddThis Enabled","Ενεργοποίηση AddThis"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Γλώσσα"
"Category Top Navigation","Category Top Navigation"
"Display Blog Link","Προβολή συνδέσμου ιστολόγιου"
"Blog Category","Κατηγορία Ιστολόγιου"
"Leave blank to display posts from all categories.","Αφήστε κενό για την προβολή δημοσιεύσεων απο όλες τις κατηγορίες."
"Custom Template","Custom Template"
Published,Δημοσιευμένο
"Category Information","Πληροφορίες Κατηγορίας"
"Enable Category","Ενεργοποίηση Κατηγορία"
"Category Title","Τίτλος Κατηγορίας"
"Category in Websites","Κατηγορία σε Ιστότοπους"
"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Tag Title","Τίτλος Ετικέτας"
"Post Information","Πληροφορίες Δημοσίευσης"
"Enable Post","Ενεργοποίηση Δημοσίευσης"
"Post Title","Τίτλος Δημοσίευσης"
"New Category","Νέα Κατηγορία"
"Additional Options","Επιπλέον Επιλογές"
"Featured Image","Προτεινόμενα Εικόνα"
"Publish Date","Ημερομηνία Δημοσίευσης"
"New Tag","Νέα Ετικέτα"
"Open Graph Metadata","Μεταδεδομένα Open Graph"
"OG Title","Τίτλος OG"
"Leave blank to use Meta Title by default.","Αφήστε κενό για να χρησιμοποιείται ο Μετατίτλος."
"OG Description","Περιγραφή OG"
"Leave blank to use Meta Description by default.","Αφήστε κενό για να χρησιμοποιείται η Μεταπεριγραφή."
"OG Image","Εικόνα OG"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Αφήστε κενό για να χρησιμοποιείται η Χαρακτηριστική Εικόνα. Επιτρεπόμενοι τύποι αρχείων εικόνας: jpg  jpeg  gif  png."
"OG Type","Τύπος OG"
"Leave blank to use ""article"" type by default."," Αφήστε κενό για να χρησιμοποιείται ο τύπος ""άρθρο""."
"Post in Websites","Δημοσίευση σε Ιστοσελίδες"
"Related Posts and Products","Σχετικές Δημοσιεύσεις και Προϊόντα."
"Related posts are shown to customers in addition to the item the customer is looking at.","Σχετικές δημοσιεύσεις εμφανίζονται στον χρήστη εκτός από το Προϊόν που παρακολουθεί ήδη."
"Add Related Post","Προσθήκη Σχετικής Δημοσίευσης"
"Add Related Posts","Προσθήκη Σχετικών Δημοσιεύσεων"
"Add Selected Posts","Προσθήκη Επιλεγμένων Δημοσιεύσεων"
"January","Ιανουαρίου"
"February","Φεβρουαρίου"
"March","Μαρτίου"
"April","Απριλίου"
"May","Μαΐου"
"June","Ιουνίου"
"July","Ιουλίου"
"August","Αυγούστου"
"September","Σεπτεμβρίου"
"October","Οκτωβρίου"
"November","Νοεμβρίου"
"December","Δεκεβρίου"
"Jan","Ιαν"
"Feb","Φεβ"
"Mar","Μαρ"
"Apr","Απρ"
"May","Μαϊ"
"Jun","Ιουν"
"Jul","Ιουλ"
"Aug","Αυγ"
"Sep","Σεπ"
"Oct","Οκτ"
"Nov","Νοε"
"Dec","Δεκ"
"Reply","Απάντηση"
"Show more replies in this thread","Προβολή περισσότερων απαντήσεων στην ανάρτηση"
"%1 Comment(s)","%1 Σχόλιο(α)"
"Add a comment...","Προσθήκη σχολίου..."
"Add a reply...","Προσθήκη απάντησης..."
"Sign in to add a comment...","Συνδεθείτε για την προσθήκη σχολίου..."
"Sign in to add a reply...","Συνδεθείτε για την προσθήκη απάντησης..."
"Full Name","Πλήρες Όνομα"
"Load more comments","Φόρτωση περισσότερων σχολίων"
"Login to submit comment","Συνδεθείτε για την υποβολή σχολίων"
"You cannot post comment. Blog post is not longer exist.","Αδύνατη η ανάρτηση σχολίων. Η δημοσίευση δεν υπάρχει πια."
"You cannot reply to this comment. Comment is not longer exist.","Αδύνατη η απάντηση σε αυτό το σχόλιο. Το σχόλιο δεν υπάρχει πια."
"You cannot reply to this comment.","Δεν μπορείτε να απαντήσετε σε αυτό το σχόλιο."
"You submitted your comment for moderation.","Υποβάλατε το σχόλιό σας για έλεγχο."
"Thank you for your comment.","Ευχαριστούμε για το σχόλιο σας."
"Import Categories","Εισαγωγή Κατηγοριών"
"Import Comments","Εισαγωγή Σχολίων"
"Import Posts","Εισαγωγή Δημοσιεύσεων"
"Import from aheadWorks Blog Extension","Εισαγωγή από πρόσθετο Ιστολόγιου aheadWorks"
"Import from Joomla","Εισαγωγή από Joomla"
"Import from Blogger.com","Εισαγωγή από Blogger.com"
"Import from Drupal","Εισαγωγή από Drupal"
"Import from CSV","Εισαγωγή από CSV"
"Import from XML","Εισαγωγή από XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
