"Add New Category","Dodaj nową kategorię"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Start Import","Rozpocznij import"
"NOTICE","OGŁOSZENIE"
"Database Name","Nazwa bazy danych"
"User Name","Nazwa Użytkownika"
"Database Host","Host bazy danych"
"Table Prefix","Przedrostek tabeli"
"Post","Wpis"
"Add New Post","Dodaj nowy post"
"Go to Blog Home Page","Przejdź do strony głównej bloga"
"Monthly Archives: %s %s","MArchiwa miesięczne: %s %s"
"Search ""%1""","Szukaj ""%1"""
"Recent Blog Posts","Najnowsze posty na blogu"
"Manage %1","Zarządzaj %1"
"Edit %1","Edytuj %1"
"New %1","Nowy %1"
"Create %1","Utwórz %1"
"%1 has been saved.","%1 został zapisany."
"Something went wrong while saving this %1. %2","Coś poszło nie tak podczas zapisywania %1. %2"
"We can't delete %1 right now. %2","Nie możemy teraz %1 usunąć. %2"
"%1 have been deleted.","%1 został usuniety."
"Parameter ""Status"" missing in request data.","Brakuje parametru ""Status"" w danych żądania."
"Status Field Name is not specified.","Nie określono nazwy pola statusu."
"We can't change status of %1 right now. %2","Nie możemy teraz zmienić statusu %1. %2"
"%1 status have been changed.","%1 Status został zmieniony."
"Blog Import","Blog Import"
"Blog import type is not specified.","Nie określono typu importu bloga."
"The import process was completed successfully. %1 posts and %2 categories where imported.","Proces importu został zakończony pomyślnie. %1 postów i %2 kategorii zostało zaimportowanych."
"The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4","Proces importu zakończony. %1 postów i %2 kategorii zostało zaimportowanych. Pominięto niektóre posty lub kategorie. <br/>%3 %4"
"Nothing to import.","Nie ma nic do zaimportowania."
"Can not make import.","Nie można dokonać importu."
"Something went wrong: ","Coś poszło nie tak: "
"Please enter your name and email","Please enter your name and email"
"Blog Import from WordPress","Import bloga z WordPress"
"Comment text is too short.","Comment text is too short."
"Please select","Proszę wybrać"
"Use Facebook Comments","Użyj komentarzy Facebooka"
"Use Disqus Comments","Użyj komentarzy Disqus"
"Use Google Comments","Użyj komentarzy Google"
"Featured Blog Posts","Featured Blog Posts"
"Yes (With auto trigger)","Tak (z automatycznym wyzwalaniem)"
"Yes (Without auto trigger)","Tak (bez automatycznego wyzwalania)"
"Parameter %1 is required","Wymagany jest parametr %1"
"AheadWorks Blog Extension not detected.","Nie wykryto rozszerzenia bloga AheadWorks."
"The category URL key contains disallowed symbols.","Klucz adresu URL kategorii zawiera niedozwolone symbole."
"The category URL key cannot be made of only numbers.","The category URL key cannot be made of only numbers."
"The post URL key contains disallowed symbols.","Klucz adresu URL posta zawiera niedozwolone symbole."
"The post URL key cannot be made of only numbers.","Klucz adresu URL posta nie może składać się tylko z liczb."
"The tag is already exist.","Tag już istnieje."
"The tag URL key contains disallowed symbols.","Klucz adresu URL tagu zawiera niedozwolone symbole."
"The tag URL key cannot be made of only numbers.","Klucz adresu URL tagu nie może składać się tylko z liczb."
"Related posts","Powiązane posty"
"Posted:",'Wysłano:"
"Categories:","Kategorie:"
"Tags:","Tagi:"
"Author:","Autor:"
"We can't find posts matching the selection.","Nie możemy znaleźć postów pasujących do zaznaczenia."
"Read more &#187;","Czytaj więcej &#187;"
"See more","Zobacz więcej"
"Read %1","Czytaj %1"
"&larr; Previous","&larr; Poprzedni"
"Next &rarr;","Następny &rarr;"
"Next","Next"
"Archive","Archiwum"
"Archive %s","Archiwizuj %s"
"Recent Posts","Najnowsze posty"
"RSS Feed","kanał RSS"
"Search posts here...","Szukaj postów tutaj..."
"Tags","Tagi"
"Read more >","Read more >"
"MageFan Extensions","Rozszerzenia MageFan"
"Blog Information","Informacje o blogu"
"Blog Index Page","Strona Indeksu bloga"
"Post View","Widok posta"
"Display Related Posts","Wyświetl powiązane posty"
"Number of Posts","Liczba postów"
"Display Related Products","Wyświetl powiązane produkty"
"Related Products","Produkty powiązane"
"Number of Products","Liczba produktów"
"Comments","Komentarze"
"Number of Comments","Liczba komentarzy"
"Facebook Application ID","Identyfikator aplikacji Facebook"
"Preview and Next Post","Podgląd i następny wpis"
"Display Prev. & Next Post Links","Wyświetl linki poprzedni i następny post"
"Post List","Lista postów"
"Posts Per Page","Postów na stronie"
"Use Lazy Loading","Użyj LazyLoading"
"Automatically load more posts on page.","Automatycznie ładuj więcej postów na stronie."
"Auto Triger Padding (px)","Auto Triger Padding (px)"
"Author","Autor"
"Display Author Information","Wyświetl informacje o autorze"
"Display Post List By Author","Wyświetl listę postów według autora"
"Sidebar","Sidebar"
"Search Form Widget","Widget Wyszukiwania"
"Categories Widget","Widget Kategorii"
"Recent Posts Widget","Widget Ostatnich postów"
"Posts Number","Liczba postów"
"Archive Widget","Widget Archiwum"
"Tag Claud Widget","Widget Chmury Tagów"
"Rss Feed","Kanał RSS"
"Feed Title","Tytuł kanału"
"Feed Description","Opis kanału"
"Product Page","Strona produktu"
"Permalink Settings","Ustawienia bezpośredniego łącza"
"Blog Route","Blog Route"
"Permalink Type","Typ linku bezpośredniego"
"Post Route","Post Route"
"Category Route","Kategoria Route"
"Archive Route","Archiwum Route"
"Tag Route","Tag Route"
"Author Route","Autor Route"
"Search Route","Wyszukiwanie Route"
"Social","Social"
"AddThis Enabled","AddThis włączone"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis język"
"Category Top Navigation","Kategoria górna nawigacja"
"Display Blog Link","Wyświetl link do bloga"
"Blog Category","Blog Kategoria"
"Leave blank to display posts from all categories.","Pozostaw puste, aby wyświetlić posty ze wszystkich kategorii."
"Custom Template","Szablon niestandardowy"
"Published","Opublikowany"
"Category Information","Informacje o kategorii"
"Enable Category","Włącz kategorię"
"Category Title","Tytuł kategorii"
"Category in Websites","Kategoria w witrynach internetowych"
"-- Please Select --","-- Proszę wybrać --"
"Tag Title","Tytuł tagu"
"Post Information","Informacje wpisu"
"Enable Post","Wpis włączony"
"Post Title","Tytuł wpisu"
"New Category","Nowa kategoria"
"Additional Options","Dodatkowe opcje"
"Featured Image","Wyróżnione zdjęcie"
"Publish Date","Data publikacji"
"New Tag","Nowy tag"
"Open Graph Metadata","Metadane Open Graph"
"OG Title","OG - tytuł"
