Add New Category,Adicionar Nova Categoria
Are you sure you want to do this?,Tem certeza disso?
Start Import,Começar Importação
NOTICE,AVISO
Database Name,Nome do Banco de Dados
User Name,Nome do Usuário
Database Host,Host do Banco de Dados
Table Prefix,Prefixo da Tabela
Post,Post
Add New Post,Adicionar Novo Post
Blog,Blog
Go to Blog Home Page,Ir Para Home Page do Blog
Monthly Archives: %s %s,Arquivo Mensal: %s %s
"Search ""%1""","Procurar ""%1"""
Recent Blog Posts,Posts Recentes
Manage %1,Gerenciar %1
Edit %1,Editar %1
New %1,Novo %1
Create %1,Criar %1
%1 has been saved.,%1 foi salvo.
Something went wrong while saving this %1. %2,Ocorreu um erro ao salvar isso %1. %2
We can't delete %1 right now. %2,Não é possível deletar %1 no momento. %2
%1 have been deleted.,%1 foi deletado.
"Parameter ""Status"" missing in request data.","Parâmetro ""Status"" ausente nos dados da solicitação."
Status Field Name is not specified.,O nome do campo de status não está especificado.
We can't change status of %1 right now. %2,Não podemos alterar o status de %1 no momento. %2
%1 status have been changed.,O status de %1 foi alterado.
Blog Import,Importar Blog
Blog import type is not specified.,O tipo de importação do blog não está especificado.
The import process was completed successfully. %1 posts and %2 categories where imported.,O processo de importação foi concluído com sucesso. %1 postagens e %2 categorias foram importadas.
The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4,O processo de importação foi concluído. %1 postagens e %2 categorias foram importadas. Algumas postagens ou categorias foram ignoradas.<br/> %3 %4
Nothing to import.,Nada para importar.
Can not make import.,Não é possível fazer a importação.
Something went wrong: ,Algo deu errado:
Please enter your name and email,Por favor, digite seu nome e email
Blog Import from WordPress,Importar Blog do WordPress
Comment text is too short.,O texto do comentário é muito curto.
Please select,Por favor, selecione
Use Facebook Comments,Usar Comentários do Facebook
Use Disqus Comments,Usar Comentários do Disqus
Use Google Comments,Usar Comentários do Google
Featured Blog Posts,Postagens em Destaque
Yes (With auto trigger),Sim (Com acionamento automático)
Yes (Without auto trigger),Sim (Sem acionamento automático)
Parameter %1 is required,O parâmetro %1 é obrigatório
AheadWorks Blog Extension not detected.,Extensão de Blog AheadWorks não detectada.
The category URL key contains disallowed symbols.,A chave de URL da categoria contém símbolos não permitidos.
The category URL key cannot be made of only numbers.,A chave de URL da categoria não pode ser composta apenas por números.
The post URL key contains disallowed symbols.,A chave de URL da postagem contém símbolos não permitidos.
The post URL key cannot be made of only numbers.,A chave de URL da postagem não pode ser composta apenas por números.
The tag is already exist.,A tag já existe.
The tag URL key contains disallowed symbols.,A chave de URL da tag contém símbolos não permitidos.
The tag URL key cannot be made of only numbers.,A chave de URL da tag não pode ser composta apenas por números.
Related posts,Postagens relacionadas
Posted:,Publicado:
Categories:,Categorias:
Tags:,Tags:
Author:,Autor:
We can't find posts matching the selection.,Não foi possível encontrar postagens que correspondam à seleção.
