"%1 Comment(s)","%1 Yorum"
"%1 has been saved.","%1 kaydedildi."
"%1 have been deleted.","%1 silindi."
"%1 status have been changed.","%1 durumu değiştirildi."
"&larr; Previous","&larr; Önceki"
"-- Please Select --","-- Lütfen Seçiniz --"
"Add New Category","Yeni Kategori Ekle"
"Add New Images","Yeni Resim Ekle"
"Add New Post","Yazı Ekle"
"Add New Tag","Yeni Etiket Ekle"
"Add Related Post","İlişkili Yazı Ekle"
"Add Related Posts","İlişkili Yazıları Ekle"
"Add Related Products","İlişkili Ürün Ekle"
"Add Selected Posts","Seçili Yazıları Ekle"
"Add Selected Products","Seçili Ürünleri Ekle"
"Add a comment...","Yorum yap..."
"Add a reply...","Cevap ver..."
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırmaya Ekle"
"Add to Wish List","Takip Listesine Ekle"
"AddThis Enabled","AddThis Açık"
"AddThis ID","AddThis No"
"AddThis Language","AddThis Dili"
"Additional Options","Ek Seçenekler"
"AheadWorks Blog Extension not detected.","AheadWorks Blog eklentisi bulunamadı."
"All Authors","Tüm Yazarlar"
"All Blog Pages","Tüm Blog Sayfaları"
"All Categories","Tüm Kategoriler"
"Allow Guest Comments","Misafir Yorumlarına İzin Ver"
"Anchor Custom Text","Bağlantı Yazısı"
"Anchor Custom Title","Bağlantı Başlığı"
"Apr","Nis"
"April","Nisan"
"Archive %s","Arşiv %s"
"Archive Route","Arşiv Yolu"
"Archive Widget","Arşiv Kutucuğu"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz?"
"Attribute Set","Özellik Seti"
"Aug","Ağu"
"August","Ağustos"
"Author ID","Yazar No"
"Author Route","Yazar Yolu"
"Author Type","Yazar Tipi"
"Author URL Suffix","Yazar Adresi Son Eki"
"Auto Triger Padding (px)","Otomatik Tetik Boşluğu (px)"
"Auto-redirect to No-Slash URL","/ İle Bitmeyen Adrese Yönlendir"
"Automatically load more posts on page.","Sayfada aşağı inildikçe yazıları otomatik yükle."
"Blog Archive Page","Blog Arşiv Sayfası"
"Blog Archive Pages","Blog Arşiv Sayfaları"
"Blog Author Page","Blog Yazar Sayfası"
"Blog Author Pages","Blog Yazar Sayfaları"
"Blog Category Page","Blog Kategori Sayfası"
"Blog Category Pages","Blog Kategori Sayfaları"
"Blog Category","Blog Kategorisi"
"Blog Import from AheadWorks M2","AheadWorks M2 Modülünden Veri Al"
"Blog Import from AheadWorks","AheadWorks Modülünden Veri Al"
"Blog Import from WordPress","Wordpress'ten Veri Al"
"Blog Import","Dışardan Blog Verisi Al"
"Blog Index Page","Blog Ana Sayfası"
"Blog Information","Blog Bilgisi"
"Blog Main Page","Blog Ana Sayfası"
"Blog Post Page","Blog Yazı Sayfası"
"Blog Post Pages","Blog Yazı Sayfaları"
"Blog Route","Blog Yolu"
"Blog Tag Page","Blog Etiket Sayfası"
"Blog Tag Pages","Blog Etiket Sayfaları"
"Blog import type is not specified.","Blog içeriği veri alımı için tip belirtilmedi."
"Browse to find or drag image here","Yüklemek istediğiniz resim dosyasını seçiniz ya da sürükleyip buraya bırakınız"
"Calculate & Display Views Counts","Gösterim Sayılarını Hesapla Ve Göster"
"Can not make import.","Veri alınamadı."
"Categories Widget","Kategori Kutucuğu"
"Category ID","Kategori No"
"Category Information","Kategori Bilgisi"
"Category Route","Kategori Yolu"
"Category Title","Kategori Başlığı"
"Category Top Navigation","Kategori Üst Menüsü"
"Category URL Suffix","Kategori Adresi Son Eki"
"Category in Websites","Kategori Web Siteleri"
"Cloud Height","Bulut Yüksekliği"
"Comment Information","Yorum Bilgisi"
"Comment text is too short.","Yorum çok kısa."
"Create %1","Yeni %1"
"Custom Design Update","Özel Tasarım Güncellemesi"
"Custom HTML 2","Özel HTML 2"
"Custom HTML","Özel HTML"
"Custom Template","Özel Şablon"
"Database Host","Veritabanı Sunucusu"
"Database Name","Veritabanı Adı"
"Database connection error","Veritabanı bağlantı hatası"
"Dec","Ara"
"December","Aralık"
"Default Robots","Varsayılan Robotlar"
"Default Short Content Length","Varsayılan Kısa İçerik Uzunluğu"
"Default: mystore.com/{blog_route}/{post_route}/post-title/","Varsayılan: mystore.com/{blog_route}/{post_route}/post-title/"
"Delete image","Resmi Sil"
"Display Author Information","Yazar Bilgisi Göster"
"Display Blog Link","Blog Bağlantısını Göster"
"Display Mode","Gösterim Şekli"
"Display Number Of Posts","Yazı Sayısını Göster"
"Display Post List By Author","Yazara Göre Yazı Listesi Göster"
"Display Prev. & Next Post Links","Önceki ve Sonraki Yazı Bağlantılarını Göster"
"Display Privacy Policy Agreement (GDPR)","Gizlilik Sözleşmesini Göster (GDPR)"
"Display Related Posts","İlişkili Yazıları Göster"
"Display Related Products","İlişkili Ürünleri Göster"
"Display Settings","Gösterim Ayarları"
"E.g.: "".html"" will make the blog author accessible from mystore.com/{blog_route}/author/author-name.html","Ör.: "".html"" girerseniz adres böyle olur : mystore.com/{blog_route}/author/author-name.html"
"E.g.: "".html"" will make the blog category accessible from mystore.com/{blog_route}/category/category-identifier.html","Ör.: "".html"" girerseniz adres böyle olur : mystore.com/{blog_route}/category/category-identifier.html"
"E.g.: "".html"" will make the blog post accessible from mystore.com/{blog_route}/post/post-identifier.html","Ör.: "".html"" girerseniz adres böyle olur : mystore.com/{blog_route}/post/post-identifier.html"
"E.g.: "".html"" will make the blog tag accessible from mystore.com/{blog_route}/tag/tag-name.html","Ör.: "".html"" girerseniz adres böyle olur : mystore.com/{blog_route}/tag/tag-name.html"
"E.g.: ""archive"" will make the blog archive accessible from mystore.com/{blog_route}/archive/2016-02","Ör.: ""archive"" girerseniz adres böyle olur : mystore.com/{blog_route}/archive/2016-02"
"E.g.: ""author"" will make the blog author posts accessible from mystore.com/{blog_route}/author/author-name","Ör.: ""author"" girerseniz adres böyle olur : mystore.com/{blog_route}/author/author-name"
"E.g.: ""blog"" will make the blog accessible from mystore.com/blog","Ör.: ""blog"" girerseniz adres böyle olur : mystore.com/blog"
"E.g.: ""category"" will make the blog category accessible from mystore.com/{blog_route}/category/category-identifier","Ör.: ""category"" girerseniz adres böyle olur : mystore.com/{blog_route}/category/category-identifier"
"E.g.: ""post"" will make the blog post accessible from mystore.com/{blog_route}/post/post-identifier","Ör.: ""post"" girerseniz adres böyle olur : mystore.com/{blog_route}/post/post-identifier"
"E.g.: ""search"" will make the blog search accessible from mystore.com/{blog_route}/search/query","Ör.: ""search"" girerseniz adres böyle olur : mystore.com/{blog_route}/search/query"
"E.g.: ""tag"" will make the blog posts by tag accessible from mystore.com/{blog_route}/tag/tag-name","Ör.: ""tag"" girerseniz adres böyle olur : mystore.com/{blog_route}/tag/tag-name"
"Edit %1","Düzelt %1"
"Enable 3D Animation","3D Animasyonları Etkinleştir"
"Enable Category","Kategoriyi Etkinleştir"
"Enable Extension","Eklentiyi Etkinleştir"
"Enable Post","Yazı Etkin"
"Enable Tag","Etiket Etkin"
"Facebook Application ID","Facebook Uygulama ID"
"Featured Blog Posts","Öne Çıkan Blog Yazıları"
"Featured Image Alt","Öne Çıkan Resim ALT Açıklaması"
"Featured Image","Öne Çıkan Resim"
"Featured Post Widget","Öne Çıkan Yazı Kutucuğu"
"Featured Posts","Öne Çıkan Yazılar"
"Feb","Şub"
"February","Şubat"
"Feed Description","Akış Açıklaması"
"Feed Title","Akış Başlığı"
"Full Name","Adı"
"Go to Blog Home Page","Blog Ana Sayfasına Git"
"Go to Home Page","Ana Sayfaya Git"
"If empty, we'll use the object name here.","Eğer boş bırakırsanız burada nesne adını kullanılır"
"If set to ""Yes"". author page with post list will be available.","Eğer ""Evet"" seçerseniz yazıları da içeren yazar sayfası kullanılır hale gelir."
"Images (.gif, .jpg, .png)","Resimler (.gif, .jpg, .png)"
"Import Categories","Kategorileri Dışarıdan Al"
"Import Comments","Yorumları Dışarıdan Al"
"Import Posts","Yazıları Dışarıdan Al"
"Import Tags","Etiketleri Dışarıdan Al"
"Import from Blogger.com","Blogger.com'dan Veri Al"
"Import from CSV","CSV'den Veri Al"
"Import from Drupal","Drupal'den Veri Al"
"Import from Joomla","Joomla'dan Veri Al"
"Import from XML","XML'den Veri Al"
"Import from aheadWorks Blog Extension","aheadWorks Blog Eklentisinden Veri Al"
"In stock","Stokta Var"
"Include Blog Categories","Blog Kategorilerini de Ekle"
"Include In Menu","Menüde Göster"
"Include in Recent Posts","En Son Yazılarda Göster"
"Jan","Oca"
"January","Ocak"
"Jul","Tem"
"July","Temmuz"
"Jun","Haz"
"June","Haziran"
"Layout Update XML","Yapı Güncelleme XML'i"
"Leave a review about the blog extension","Blog eklentisi ile ilgili yorum yapın"
"Leave blank or use date format YYYY-MM-DD.","Standart tarih tipini ( YYYY-AA-GG ) kullanmak için boş bırakınız."
"Leave blank to display posts from all authors.","Tüm yazarların tüm yazılarını göstermek için burayı boş bırakınız."
"Leave blank to display posts from all categories.","Tüm kategorilerden tüm yazıları göstermek için burayı boş bırakınız."
"Leave blank to display posts from all tags.","Tüm etiketlere bağlı tüm yazıları göstermek için burayı boş bırakınız."
"Leave blank to use ""article"" type by default.","Varsayılan olarak ""article"" tipini kullanmak için boş bırakınız."
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Öne çıkan resmi kullanmak için bu alanı boş bırakınız. İzin verilen görsel tipleri: jpg, jpeg, gif, png."
"Leave blank to use Meta Description by default.","Varsayılan meta açıklamasını kullanmak için burayı boş bırakınız."
"Leave blank to use Meta Title by default.","Varsayılan meta başlığını kullanmak için burayı boş bırakınız."
"Link Text","Bağlantı Yazısı"
"Link to a Specified Blog Author Page","Belirli bir Yazar Sayfasına Bağla"
"Link to a Specified Blog Category Page","Belirli bir Kategori Sayfasına Bağla"
"Link to a Specified Blog Post Page","Belirli bir Yazı Sayfasına Bağla"
"Link to a Specified Blog Tag Page","Belirli bir Etiket Sayfasına Bağla"
"Load more comments","Daha fazla yorum göster"
"Login to submit comment","Yorum yapmak için giriş yapmanız gerekiyor"
"MageFan Extensions","MageFan Eklentileri"
"Magefan Blog Extension - Blog Author Link","Magefan Blog Eklentisi - Blog Yazar Bağlantısı"
"Magefan Blog Extension - Blog Category Link","Magefan Blog Eklentisi - Blog Kategori Bağlantısı"
"Magefan Blog Extension - Blog Post Link","Magefan Blog Eklentisi - Blog Yazı Bağlantısı"
"Magefan Blog Extension - Blog Tag Link","Magefan Blog Eklentisi - Blog Etiket Bağlantısı"
"Magefan Blog Extension - Recent Blog Posts","Magefan Blog Eklentisi - En Son Yazılar Bağlantısı"
